"driverId","raceId","qualifyId","constructorId","number.x","position","q1","q2","q3","year","round","circuitId","name","date","time","url.x","fp1_date","fp1_time","fp2_date","fp2_time","fp3_date","fp3_time","quali_date","quali_time","sprint_date","sprint_time","driverRef","number.y","code","forename","surname","dob","nationality","url.y"
1,1122,10100,131,44,8,"1:28.994","1:28.606","1:28.460",2024,2,77,"Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00","\N","\N","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
1,1113,9917,131,44,5,"1:32.651","1:32.019","1:31.485",2023,15,15,"Singapore Grand Prix","2023-09-17","12:00:00","https://en.wikipedia.org/wiki/2023_Singapore_Grand_Prix","2023-09-15","09:30:00","2023-09-15","13:00:00","2023-09-16","09:30:00","2023-09-16","13:00:00","\N","\N","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
1,31,283,1,22,15,"1:35.394","1:39.265","\N",2008,14,14,"Italian Grand Prix","2008-09-14","12:00:00","http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
1,943,6624,131,44,2,"1:20.808","1:19.829","1:19.668",2015,17,32,"Mexican Grand Prix","2015-11-01","19:00:00","http://en.wikipedia.org/wiki/2015_Mexican_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
1,917,6254,131,44,2,"1:10.457","1:10.712","1:10.056",2014,18,18,"Brazilian Grand Prix","2014-11-09","16:00:00","http://en.wikipedia.org/wiki/2014_Brazilian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
1,1041,8579,131,44,2,"1:26.620","1:25.390","1:25.525",2020,11,20,"Eifel Grand Prix","2020-10-11","13:10:00","http://en.wikipedia.org/wiki/2020_Eifel_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
1,1016,8079,131,44,2,"1:11.518","1:11.010","1:10.446",2019,7,7,"Canadian Grand Prix","2019-06-09","18:10:00","http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
1,1114,9939,131,44,7,"1:30.811","1:30.040","1:29.908",2023,16,22,"Japanese Grand Prix","2023-09-24","05:00:00","https://en.wikipedia.org/wiki/2023_Japanese_Grand_Prix","2023-09-22","02:30:00","2023-09-22","06:00:00","2023-09-23","02:30:00","2023-09-23","06:00:00","\N","\N","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
1,1012,8001,131,44,2,"1:33.115","1:31.637","1:31.570",2019,3,17,"Chinese Grand Prix","2019-04-14","06:10:00","http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
1,898,5820,131,10,5,"1:37.959","1:37.854","1:37.345",2013,18,69,"United States Grand Prix","2013-11-17","19:00:00","http://en.wikipedia.org/wiki/2013_United_States_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
